element,sp_num,nm
Ar,2,537.894
Ar,2,537.91666
Ar,2,538.233
Ar,2,538.43742
Ar,2,538.6519
Ar,2,539.122
Ar,2,539.36015
Ar,2,539.481
Ar,2,539.75164
Ar,2,540.062
Ar,2,540.217
Ar,2,540.26051
Ar,2,540.73448
Ar,2,540.9401
Ar,2,541.1646
Ar,2,541.24465
Ar,2,541.671
Ar,1,542.1352
Ar,2,542.503
Ar,2,543.294
Ar,2,543.9676
Ar,2,544.0524
Ar,2,544.0932
Ar,2,544.36893
Ar,2,544.7556
Ar,2,545.111
Ar,1,545.1652
Ar,2,545.3634
Ar,2,545.3634
Ar,2,545.43052
Ar,2,545.43052
Ar,2,545.4757
Ar,2,545.6382
Ar,2,546.64338
Ar,2,546.9098
Ar,2,547.0307
Ar,2,547.2642
Ar,2,547.612
Ar,2,548.1997
Ar,2,548.4311
Ar,2,548.6102
Ar,2,549.0667
Ar,1,549.5874
Ar,2,549.7123
Ar,2,549.81838
Ar,2,549.8972
Ar,2,550.03323
Ar,2,550.148
Ar,3,550.22
Ar,2,550.3256
Ar,2,550.413
Ar,2,550.445
Ar,2,550.4917
Ar,1,550.6113
Ar,2,550.7762
Ar,2,551.3303
Ar,2,551.6668
Ar,2,551.9337
Ar,2,552.174
Ar,2,552.369
Ar,2,552.5856
Ar,2,553.496
Ar,2,553.551
Ar,2,553.729
Ar,2,554.388
Ar,2,554.50492
Ar,2,555.40227
Ar,2,555.4146
Ar,1,555.8702
Ar,2,556.3196
Ar,1,557.2541
Ar,2,557.76857
Ar,2,557.8521
Ar,2,558.261
Ar,2,558.81
Ar,2,559.22
Ar,2,559.352
Ar,2,560.262
Ar,2,560.39355
Ar,1,560.6733
Ar,2,560.95799
Ar,2,561.1667
Ar,2,561.726
Ar,2,562.151
Ar,2,562.151
Ar,2,562.4005
Ar,2,562.56764
Ar,2,563.11568
Ar,2,563.1381
Ar,2,563.4661
Ar,2,563.58812
Ar,2,564.2413
Ar,1,565.0704
Ar,2,565.368
Ar,2,565.402
Ar,2,565.44555
Ar,2,565.5236
Ar,2,566.729
Ar,2,566.996
Ar,2,567.29766
Ar,2,568.148
Ar,2,568.148
Ar,2,569.1663
Ar,2,569.33
Ar,2,570.43766
Ar,2,570.7215
Ar,2,570.8616
Ar,2,571.1453
Ar,2,571.6029
Ar,2,572.4325
Ar,2,573.221
Ar,2,573.2694
Ar,1,573.952
Ar,3,574.3147
Ar,2,574.32756
Ar,2,574.939
Ar,2,575.354
Ar,2,575.66
Ar,2,576.6542
Ar,2,576.6542
Ar,2,577.2323
Ar,2,577.318
Ar,2,577.4697
Ar,2,577.6374
Ar,2,578.1268
Ar,2,578.235
Ar,2,578.6561
Ar,2,578.858
Ar,2,579.97401
Ar,2,580.046
Ar,2,580.7596
Ar,2,581.27604
Ar,2,581.356
Ar,2,581.6272
Ar,2,582.21291
Ar,2,582.60549
Ar,2,582.8059
Ar,1,583.4263
Ar,2,583.547
Ar,2,583.896
Ar,2,584.0048
Ar,2,584.3781
Ar,2,584.611
Ar,2,585.274
Ar,2,585.31
Ar,2,585.42728
Ar,1,586.031
Ar,2,586.6598
Ar,2,587.0443
Ar,1,588.2624
Ar,2,588.454
Ar,2,588.6088
Ar,1,588.8584
Ar,2,589.416
Ar,2,589.416
Ar,2,590.178
Ar,2,590.178
Ar,2,590.4291
Ar,2,590.8674
Ar,1,591.2085
Ar,2,591.549
Ar,2,592.308
Ar,2,592.308
Ar,2,592.677
Ar,1,592.8813
Ar,2,593.5792
Ar,2,593.6309
Ar,2,593.664
Ar,2,594.1825
Ar,1,594.2669
Ar,2,595.0905
Ar,2,595.38303
Ar,2,596.137
Ar,2,596.2744
Ar,2,596.5031
Ar,2,597.3314
Ar,2,597.59622
Ar,2,597.7995
Ar,2,598.4454
Ar,2,598.5912
Ar,1,598.7302
Ar,2,598.8288
Ar,2,598.8288
Ar,2,598.9339
Ar,2,599.146
Ar,1,599.8999
Ar,2,600.317
Ar,2,601.9493
Ar,1,602.515
Ar,2,602.72513
Ar,2,602.822
Ar,8,602.98
Ar,2,603.0844
Ar,1,603.2127
Ar,1,604.3223
Ar,2,604.4468
Ar,2,604.68977
Ar,2,604.9075
Ar,2,605.001
Ar,2,605.001
Ar,1,605.2723
Ar,1,605.9372
Ar,2,606.996
Ar,2,607.7431
Ar,2,608.3875
Ar,2,608.4507
Ar,1,609.8803
Ar,2,610.19192
Ar,2,610.2765
Ar,2,610.35397
Ar,1,610.5635
Ar,2,610.832
Ar,2,610.915
Ar,2,611.1742
Ar,2,611.49232
Ar,2,611.8724
Ar,2,612.00936
Ar,2,612.33609
Ar,2,612.4571
Ar,2,613.483
Ar,2,613.86551
Ar,2,614.2615
Ar,1,614.5441
Ar,2,614.646
Ar,2,616.67835
Ar,2,616.76273
Ar,1,617.0174
Ar,2,617.22775
Ar,1,617.3096
Ar,2,617.4378
Ar,2,618.3024
Ar,2,618.7135
Ar,2,619.2301
Ar,2,620.11002
Ar,2,620.6463
Ar,2,620.8935
Ar,2,621.042
Ar,1,621.2503
Ar,1,621.5938
Ar,2,623.2892
Ar,2,623.457
Ar,2,623.9712
Ar,2,624.31199
Ar,2,624.9975
Ar,2,627.315
Ar,2,627.7425
Ar,2,628.112
Ar,2,628.2823
Ar,2,629.45
Ar,2,629.5446
Ar,1,629.6872
Ar,1,630.7657
Ar,2,631.54
Ar,2,632.3735
Ar,2,632.416
Ar,2,632.416
Ar,2,632.44151
Ar,2,632.6117
Ar,2,632.6117
Ar,2,632.8474
Ar,2,633.2499
Ar,2,633.2832
Ar,2,633.3147
Ar,2,633.713
Ar,2,633.9897
Ar,2,634.82272
Ar,2,634.8601
Ar,2,635.7025
Ar,2,635.76776
Ar,2,636.544
Ar,2,636.9128
Ar,1,636.9575
Ar,2,637.319
Ar,2,637.5945
Ar,2,638.2696
Ar,2,638.30967
Ar,1,638.4717
Ar,2,638.8341
Ar,2,639.1117
Ar,2,639.3802
Ar,2,639.4729
Ar,2,639.66084
Ar,2,639.7184
Ar,2,639.92085
Ar,2,640.30123
Ar,2,640.8909
Ar,1,641.6307
Ar,2,641.7417
Ar,2,641.83696
Ar,2,642.2894
Ar,2,642.4144
Ar,2,643.1556
Ar,2,643.3683
Ar,2,643.76013
Ar,2,644.18981
Ar,2,644.38591
Ar,2,645.6489
Ar,2,645.771
Ar,2,645.771
Ar,2,645.8403
Ar,2,646.8047
Ar,2,647.2428
Ar,2,647.5312
Ar,2,648.0085
Ar,2,648.30825
Ar,2,648.7444
Ar,2,648.7444
Ar,2,648.985
Ar,2,650.02151
Ar,2,650.13608
Ar,2,650.2157
Ar,2,650.6138
Ar,2,650.8174
Ar,2,650.9089
Ar,2,653.2927
Ar,2,653.80451
Ar,1,653.8112
Ar,2,654.0409
Ar,2,654.735
Ar,2,655.1498
Ar,2,655.7724
Ar,2,656.417
Ar,1,660.4853
Ar,2,660.826
Ar,2,661.1196
Ar,2,661.4349
Ar,2,662.0965
Ar,2,662.315
Ar,2,663.62
Ar,2,663.82202
Ar,2,663.97403
Ar,2,664.36973
Ar,2,665.3583
Ar,2,665.7499
Ar,1,666.0676
Ar,1,666.4051
Ar,2,666.63587
Ar,1,667.7282
Ar,2,668.42924
Ar,2,669.571
Ar,2,669.6296
Ar,1,675.2834
Ar,1,675.6163
Ar,2,675.65522
Ar,1,676.6612
Ar,2,679.9288
Ar,2,680.85312
Ar,2,681.8371
Ar,2,683.291
Ar,2,683.9584
Ar,2,684.654
Ar,2,685.606
Ar,2,686.12689
Ar,2,686.35347
Ar,2,686.925
Ar,1,687.1289
Ar,2,687.555
Ar,1,687.9582
Ar,2,688.66118
Ar,1,688.8174
Ar,2,689.262
Ar,2,690.088
Ar,2,690.446
Ar,2,691.176
Ar,1,693.7664
Ar,1,695.1478
Ar,1,696.025
Ar,1,696.5431
Ar,2,698.5708
Ar,2,699.0122
Ar,2,700.144
Ar,1,703.0251
Ar,2,705.069
Ar,2,705.4993
Ar,1,706.7218
Ar,1,706.8736
Ar,2,707.7024
Ar,2,709.056
Ar,2,710.119
Ar,2,710.311
Ar,1,710.7478
Ar,2,712.1737
Ar,1,712.582
Ar,1,714.7042
Ar,1,715.8839
Ar,2,718.2098
Ar,2,718.715
Ar,1,720.698
Ar,2,723.35341
Ar,2,724.945
Ar,1,726.5172
Ar,1,727.0664
Ar,1,727.2936
Ar,2,728.0454
Ar,2,728.4232
Ar,2,729.815
Ar,1,731.1716
Ar,1,731.6005
Ar,2,734.80495
Ar,1,735.0814
Ar,1,735.3293
Ar,2,735.518
Ar,2,735.8338
Ar,1,737.2118
Ar,2,738.04229
Ar,1,738.398
Ar,1,739.298
Ar,1,741.2337
Ar,2,741.9341
Ar,1,742.5294
Ar,2,742.8574
Ar,1,743.5368
Ar,1,743.6297
Ar,2,744.0491
Ar,2,745.5996
Ar,1,750.3869
Ar,2,750.5153
Ar,1,751.4652
Ar,2,758.93152
Ar,2,761.803
Ar,1,763.5106
Ar,2,765.4031
Ar,2,768.0948
Ar,2,768.149
Ar,2,768.3458
Ar,1,772.3761
Ar,1,772.4207
Ar,2,774.242
Ar,2,775.328
Ar,2,775.366
Ar,2,775.7003
Ar,2,779.541
Ar,2,780.2252
Ar,2,783.777
Ar,2,783.925
Ar,2,784.6555
Ar,2,784.9409
Ar,1,789.1075
Ar,2,789.467
Ar,2,790.477
Ar,2,791.5813
Ar,2,792.735
Ar,2,794.047
Ar,2,794.351
Ar,1,794.8176
Ar,2,798.361
Ar,2,799.29
Ar,1,800.6157
Ar,1,801.4786
Ar,2,801.7528
Ar,2,803.4625
Ar,2,803.6857
Ar,2,804.376
Ar,2,804.4308
Ar,1,805.3308
Ar,2,806.606
Ar,2,808.375
Ar,2,808.613
Ar,1,810.3693
Ar,2,810.36931
Ar,2,811.065
Ar,1,811.5311
Ar,2,815.0647
Ar,2,816.5405
Ar,2,818.279
Ar,2,819.0258
Ar,2,819.214
Ar,2,821.7817
Ar,2,825.9521
Ar,1,826.4522
Ar,2,829.6723
As,3,392.26
As,3,403.72
As,2,419.0082
As,2,419.74
As,2,424.2982
As,2,431.5657
As,2,432.3867
As,2,433.664
As,2,435.2145
As,2,435.2864
As,2,437.117
As,2,442.7106
As,2,443.1562
As,2,445.8469
